Isolate,Scheme,SequenceType,Allele,Allele,Allele,Allele,Allele,Allele,Allele,Quality
OFN-01,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-02,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-03,lmonocytogenes,-,abcZ(2),bglA(1),cat(11~83),dapE(3),dat(3~20),ldh(9?),lhkA(7),&#10008;
OFN-04,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-55,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-56,lmonocytogenes,-,abcZ(2),bglA(9?),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10008;
OFN-57,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-58,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-59,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-60,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-61,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-62,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-63,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-64,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-65,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-66,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-67,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
OFN-68,lmonocytogenes,5,abcZ(2),bglA(1),cat(11),dapE(3),dat(3),ldh(1),lhkA(7),&#10004;
