Isolate,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,ModeLen,Phred,AvgQual,Depth,Quality
OFN-57,1790450,424217861,38.5,31,236,251,251,33,34.2,134,&#10004;
OFN-61,1753462,414723445,38.6,35,236,251,251,33,35.1,131,&#10004;
OFN-55,1701422,405832153,38.4,30,238,251,251,33,34.4,128,&#10004;
OFN-62,815450,189091835,38.6,32,231,251,251,33,34.3,59,&#10004;
OFN-60,2073586,481662442,38.5,30,232,251,251,33,35.0,152,&#10004;
OFN-58,274166,65921121,38.1,35,240,251,251,33,30.1,20,&#10008;
OFN-01,1121022,267250486,38.6,31,238,251,251,33,36.3,84,&#10004;
OFN-04,5194186,1180263352,38.6,34,227,251,251,33,35.7,373,&#10004;
OFN-59,1637386,385399586,38.5,34,235,251,251,33,34.5,121,&#10004;
OFN-64,1306728,310863899,38.7,35,237,251,251,33,36.3,98,&#10004;
OFN-65,627360,148114369,38.0,30,236,251,251,33,36.4,46,?
OFN-56,2187320,513849449,38.6,32,234,251,251,33,34.6,162,&#10004;
OFN-68,1000614,236891936,38.1,33,236,251,251,33,36.4,74,&#10004;
OFN-67,727196,172176858,38.3,35,236,251,251,33,36.0,54,&#10004;
OFN-66,1389632,329890768,38.3,32,237,251,251,33,36.4,104,&#10004;
OFN-03,6717352,1513486321,38.6,30,225,251,251,33,35.8,478,&#10004;
OFN-63,1003866,241303994,38.5,34,240,251,251,33,36.2,76,&#10004;
OFN-02,1108224,264208400,38.6,34,238,251,251,33,35.9,83,&#10004;
