Isolate,isSEROTYPE,AMPLICONS,Quality
OFN-01,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-02,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-03,-,-,&#10008;
OFN-04,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-55,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-56,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-57,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-58,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-59,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-60,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-61,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-62,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-63,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-64,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-65,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-66,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-67,1/2b~3b~7,ORF2819~Prs,&#10004;
OFN-68,1/2b~3b~7,ORF2819~Prs,&#10004;
