ID,OFN-01,OFN-02,OFN-03,OFN-04,OFN-55,OFN-56,OFN-57,OFN-58,OFN-59,OFN-60,OFN-61,OFN-62,OFN-63,OFN-64,OFN-65,OFN-66,OFN-67,OFN-68,Reference
OFN-01,0,16,723,736,733,736,735,704,733,733,734,727,734,733,735,733,736,733,697
OFN-02,16,0,715,728,725,728,727,696,725,725,726,719,726,725,727,725,728,725,689
OFN-03,723,715,0,25,22,25,24,159,22,22,23,16,23,22,24,22,25,22,802
OFN-04,736,728,25,0,5,8,7,160,5,5,6,13,6,5,7,5,8,5,827
OFN-55,733,725,22,5,0,5,4,157,2,2,3,10,3,2,4,2,5,2,824
OFN-56,736,728,25,8,5,0,7,160,5,5,6,13,6,5,7,5,8,5,827
OFN-57,735,727,24,7,4,7,0,157,4,4,5,12,5,4,6,4,7,4,826
OFN-58,704,696,159,160,157,160,157,0,157,157,158,151,158,157,159,157,160,157,671
OFN-59,733,725,22,5,2,5,4,157,0,2,3,10,3,2,4,2,5,2,824
OFN-60,733,725,22,5,2,5,4,157,2,0,3,10,3,2,4,2,5,2,824
OFN-61,734,726,23,6,3,6,5,158,3,3,0,11,4,3,5,3,6,3,825
OFN-62,727,719,16,13,10,13,12,151,10,10,11,0,11,10,12,10,13,10,818
OFN-63,734,726,23,6,3,6,5,158,3,3,4,11,0,3,5,1,6,1,825
OFN-64,733,725,22,5,2,5,4,157,2,2,3,10,3,0,4,2,5,2,824
OFN-65,735,727,24,7,4,7,6,159,4,4,5,12,5,4,0,4,7,4,826
OFN-66,733,725,22,5,2,5,4,157,2,2,3,10,1,2,4,0,5,0,824
OFN-67,736,728,25,8,5,8,7,160,5,5,6,13,6,5,7,5,0,5,827
OFN-68,733,725,22,5,2,5,4,157,2,2,3,10,1,2,4,0,5,0,824
Reference,697,689,802,827,824,827,826,671,824,824,825,818,825,824,826,824,827,824,0
