,CFSAN000189,CFSAN000191,CFSAN000211,CFSAN000212,CFSAN000228,CFSAN000661,CFSAN000669,CFSAN000700,CFSAN000752,CFSAN000753,CFSAN000951,CFSAN000952,CFSAN000954,CFSAN000958,CFSAN000960,CFSAN000961,CFSAN000963,CFSAN000968,CFSAN000970,CFSAN001112,CFSAN001115,CFSAN001118,CFSAN001140,Reference
CFSAN000189,0,80,82,83,71,15,15,16,15,15,15,15,16,15,16,15,15,15,15,15,15,15,14,5
CFSAN000191,80,0,54,55,27,89,89,90,89,89,89,89,90,89,90,89,89,89,89,89,89,89,88,85
CFSAN000211,82,54,0,1,45,91,91,92,91,91,91,91,92,91,92,91,91,91,91,91,91,91,90,87
CFSAN000212,83,55,1,0,46,92,92,93,92,92,92,92,93,92,93,92,92,92,92,92,92,92,91,88
CFSAN000228,71,27,45,46,0,80,80,81,80,80,80,80,81,80,81,80,80,80,80,80,80,80,79,76
CFSAN000661,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000669,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000700,16,90,92,93,81,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,21
CFSAN000752,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000753,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000951,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000952,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000954,16,90,92,93,81,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,21
CFSAN000958,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000960,16,90,92,93,81,1,1,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,21
CFSAN000961,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000963,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000968,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN000970,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN001112,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN001115,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN001118,15,89,91,92,80,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20
CFSAN001140,14,88,90,91,79,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,19
Reference,5,85,87,88,76,20,20,21,20,20,20,20,21,20,21,20,20,20,20,20,20,20,19,0
