Sequence,Length,Description
CP006053,4730612,CP006053 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189~ complete genome.
CP006054,78193,CP006054 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189 plasmid unnamed~ complete sequence.
TOTAL,4808805,Total reference size in bp
